년,월,체류자격,등록외국인 수
2022,09,상사주재D7,1046
2022,09,기업투자D8,6571
2022,09,무역경영D9,2079
2022,09,교수E1,2037
2022,09,회화지도E2,13929
2022,09,연구E3,3996
2022,09,기술지도E4,211
2022,09,전문직업E5,223
2022,09,예술흥행E6,3333
2022,09,특정활동E7,23044
2022,09,계절근로E8,4033
2022,09,비전문취업E9,228362
2022,09,선원취업E10,19078
2022,09,방문동거F1,97159
2022,09,거주F2,43760
2022,09,동반F3,23355
2022,09,영주F5,173826
2022,09,결혼이민F6,134224
2022,09,방문취업H2,106408
2022,09,기타,77056
2022,10,문화예술D1,47
2022,10,유학D2,128651
2022,10,일반연수D4,56469
2022,10,종교D6,1403
2022,10,상사주재D7,1066
2022,10,기업투자D8,6667
2022,10,무역경영D9,2118
2022,10,교수E1,2037
2022,10,회화지도E2,13957
2022,10,연구E3,3997
2022,10,기술지도E4,208
2022,10,전문직업E5,229
2022,10,예술흥행E6,3350
2022,10,특정활동E7,23331
2022,10,계절근로E8,3330
2022,10,비전문취업E9,234510
2022,10,선원취업E10,19021
2022,10,방문동거F1,98834
2022,10,거주F2,43890
2022,10,동반F3,23577
2022,10,영주F5,174573
2022,10,결혼이민F6,134136
2022,10,방문취업H2,104812
2022,10,기타,78146
2022,11,문화예술D1,47
2022,11,유학D2,135938
2022,11,일반연수D4,58717
2022,11,종교D6,1407
2022,11,상사주재D7,1078
2022,11,기업투자D8,6736
2022,11,무역경영D9,2162
2022,11,교수E1,2023
2022,11,회화지도E2,14085
2022,11,연구E3,4009
2022,11,기술지도E4,215
2022,11,전문직업E5,240
2022,11,예술흥행E6,3573
2022,11,특정활동E7,23470
2022,11,계절근로E8,3445
2022,11,비전문취업E9,243897
2022,11,선원취업E10,18932
2022,11,방문동거F1,100436
2022,11,거주F2,44067
2022,11,동반F3,23969
2022,11,영주F5,175081
2022,11,결혼이민F6,134318
2022,11,방문취업H2,103536
2022,11,기타,79251
2022,12,문화예술D1,40
2022,12,유학D2,133112
2022,12,일반연수D4,60273
2022,12,종교D6,1418
2022,12,상사주재D7,1118
2022,12,기업투자D8,6764
2022,12,무역경영D9,2111
2022,12,교수E1,2005
2022,12,회화지도E2,14060
2022,12,연구E3,3957
