년,월,시도,등록외국인 수
2023,01,경기도,384575
2023,01,서울특별시,238904
2023,01,충청남도,71738
2023,01,인천광역시,72995
2023,01,경상남도,71474
2023,01,경상북도,57215
2023,01,부산광역시,42854
2023,01,충청북도,41487
2023,01,전라남도,39686
2023,01,전라북도,34898
2023,01,대구광역시,29721
2023,01,광주광역시,22990
2023,01,제주특별자치도,21683
2023,01,대전광역시,20938
2023,01,강원도,20304
2023,01,울산광역시,18511
2023,01,세종특별자치시,5278
2023,02,경기도,386379
2023,02,서울특별시,237083
2023,02,충청남도,72160
2023,02,인천광역시,73522
2023,02,경상남도,72646
2023,02,경상북도,57502
2023,02,부산광역시,42514
2023,02,충청북도,41727
2023,02,전라남도,40247
2023,02,전라북도,34886
2023,02,대구광역시,29690
2023,02,광주광역시,23111
2023,02,제주특별자치도,21592
2023,02,대전광역시,20767
2023,02,강원도,20422
2023,02,울산광역시,18796
2023,02,세종특별자치시,5349
2023,03,경기도,391910
2023,03,서울특별시,241604
2023,03,충청남도,73837
2023,03,경상남도,75188
2023,03,인천광역시,74413
2023,03,경상북도,58338
2023,03,부산광역시,43856
2023,03,충청북도,42652
2023,03,전라남도,41065
2023,03,전라북도,35469
2023,03,대구광역시,30417
2023,03,광주광역시,23493
2023,03,대전광역시,21949
2023,03,제주특별자치도,21721
2023,03,강원도,20924
2023,03,울산광역시,19415
2023,03,세종특별자치시,5434
2023,04,경기도,395608
2023,04,서울특별시,244753
2023,04,충청남도,75300
2023,04,경상남도,76643
2023,04,인천광역시,75189
2023,04,경상북도,59757
2023,04,부산광역시,44311
2023,04,충청북도,43603
2023,04,전라남도,41525
2023,04,전라북도,36411
2023,04,대구광역시,30325
2023,04,광주광역시,23647
2023,04,대전광역시,21885
2023,04,제주특별자치도,21801
2023,04,강원도,21511
2023,04,울산광역시,19905
2023,04,세종특별자치시,5442
2023,05,경기도,399765
2023,05,서울특별시,246078
2023,05,충청남도,78171
2023,05,경상남도,76849
2023,05,인천광역시,75978
2023,05,경상북도,61584
2023,05,부산광역시,44967
2023,05,충청북도,44841
2023,05,전라남도,42735
2023,05,전라북도,37421
2023,05,대구광역시,30614
2023,05,광주광역시,23848
2023,05,강원도,22792
2023,05,대전광역시,22091
2023,05,제주특별자치도,21982
2023,05,울산광역시,20447
2023,05,세종특별자치시,5445
2023,06,경기도,403410
2023,06,서울특별시,245229
2023,06,충청남도,78388
2023,06,경상남도,79900
2023,06,인천광역시,76544
2023,06,경상북도,62777
2023,06,부산광역시,45333
2023,06,충청북도,46108
2023,06,전라남도,44021
2023,06,전라북도,38563
2023,06,대구광역시,30887
2023,06,광주광역시,24011
2023,06,강원도,23983
2023,06,대전광역시,22411
2023,06,제주특별자치도,22488
2023,06,울산광역시,20854
2023,06,세종특별자치시,5486
2023,07,경기도,406717
2023,07,서울특별시,244367
2023,07,충청남도,79177
2023,07,경상남도,81057
2023,07,인천광역시,77119
2023,07,경상북도,63639
2023,07,부산광역시,45723
2023,07,충청북도,46773
2023,07,전라남도,44960
2023,07,전라북도,39424
2023,07,대구광역시,31689
2023,07,광주광역시,24008
2023,07,강원도,25541
2023,07,대전광역시,22432
2023,07,제주특별자치도,23032
2023,07,울산광역시,21427
2023,07,세종특별자치시,5554
2023,08,경기도,409939
2023,08,서울특별시,244367
2023,08,충청남도,79956
2023,08,경상남도,82497
2023,08,인천광역시,77912
2023,08,경상북도,64159
2023,08,부산광역시,45949
2023,08,충청북도,46925
2023,08,전라남도,45928
2023,08,전라북도,39793
2023,08,대구광역시,31801
2023,08,광주광역시,24029
2023,08,강원도,26146
2023,08,대전광역시,22452
2023,08,제주특별자치도,23591
2023,08,울산광역시,21766
2023,08,세종특별자치시,5558
