국  적,성별,0세~4세,5세~9세,10세~14세,15세~19세,20세~24세,25세~29세,30세~34세,35세~39세,40세~44세,45세~49세,50세~54세,55세~59세,60세~64세,65세~69세,70세~74세,75세~79세,80세이상
코트디부아르,남,1,2,5,7,17,18,39,68,64,54,44,36,12,6,2,1,0
코트디부아르,여,2,2,3,11,24,13,13,14,10,15,7,11,6,2,2,0,0
르  완  다,남,2,0,0,6,18,83,83,63,35,13,20,11,4,0,0,0,0
르  완  다,여,1,0,3,8,26,36,25,22,19,11,2,3,1,0,0,0,0
짐 바 브 웨,남,2,0,2,5,10,27,46,31,30,29,28,19,6,3,3,0,0
짐 바 브 웨,여,0,2,2,6,14,17,37,16,10,3,11,8,3,1,0,0,0
잠  비  아,남,1,3,4,8,12,16,22,32,36,34,17,16,6,3,2,0,2
잠  비  아,여,5,1,14,9,8,16,12,13,11,13,13,5,2,1,1,0,0
앙  골  라,남,4,5,2,3,19,36,36,32,27,22,11,9,13,4,1,1,0
앙  골  라,여,2,1,3,6,6,9,11,8,9,3,10,3,5,0,0,0,0
모 잠 비 크,남,0,1,1,3,8,14,25,32,26,34,31,12,5,3,0,1,1
모 잠 비 크,여,2,1,1,2,9,4,15,13,8,13,10,3,0,0,0,0,0
보 츠 와 나,남,0,0,2,0,4,17,14,14,21,29,23,13,0,0,1,0,0
보 츠 와 나,여,0,0,0,4,17,17,17,14,17,14,8,4,2,1,0,0,0
감  비  아,남,0,0,0,7,27,46,21,24,22,14,20,9,2,0,2,0,0
감  비  아,여,0,0,0,1,0,3,2,4,1,3,0,1,1,1,0,0,0
기      니,남,0,1,0,1,21,49,38,24,15,12,3,8,6,6,0,0,0
기      니,여,1,1,2,0,9,9,2,2,1,0,1,1,0,2,0,0,0
말      리,남,0,0,1,6,28,36,27,28,21,12,13,11,4,2,0,1,0
말      리,여,0,0,0,1,5,3,1,3,3,2,3,2,0,0,1,0,0
토      고,남,2,2,0,5,4,15,17,27,27,21,21,12,3,3,1,0,0
토      고,여,0,0,0,2,5,2,3,3,5,3,3,5,0,0,1,1,0
가      봉,남,0,1,0,5,9,11,10,19,16,8,12,16,4,0,1,0,0
가      봉,여,0,0,1,4,9,11,7,6,5,1,7,7,1,1,0,0,0
부  룬  디,남,0,1,0,1,9,17,22,28,10,14,12,5,2,0,0,0,0
부  룬  디,여,4,2,0,2,1,16,9,1,1,0,2,3,0,0,0,0,0
말  라  위,남,1,0,0,8,9,14,12,11,15,11,17,5,0,1,1,0,0
말  라  위,여,0,0,0,7,6,7,7,10,3,7,3,0,3,2,0,0,0
베      냉,남,1,0,0,3,6,11,19,8,25,11,23,12,5,1,1,1,0
베      냉,여,0,2,0,1,3,4,1,3,5,1,0,5,2,0,1,0,0
나 미 비 아,남,0,0,0,0,0,5,4,9,5,5,2,3,0,0,0,0,0
나 미 비 아,여,0,0,0,1,6,6,3,4,2,4,3,0,1,0,1,0,0
부르키나파소,남,0,0,2,0,8,8,22,19,17,15,11,9,6,2,0,0,0
부르키나파소,여,0,0,0,1,4,4,2,2,3,1,1,2,0,0,0,0,0
스와질란드,남,0,2,0,2,9,5,4,9,11,8,6,8,5,1,3,0,0
스와질란드,여,0,0,3,1,2,2,5,8,4,6,3,6,5,3,0,0,0
시에라리온,남,0,1,1,0,1,2,3,20,9,10,10,11,2,0,1,0,0
시에라리온,여,0,2,0,1,2,4,1,3,1,3,0,2,0,0,0,0,0
콩      고,남,0,0,0,0,5,10,3,10,6,6,6,4,2,0,0,0,0
콩      고,여,0,1,0,2,4,1,3,2,0,2,1,1,0,0,0,0,0
세 이 셸,남,0,0,1,0,1,6,2,3,4,1,5,2,4,0,0,0,0
세 이 셸,여,0,0,0,1,5,1,3,2,2,5,2,0,1,0,0,0,0
니  제  르,남,0,0,0,1,3,6,4,6,11,4,4,4,4,1,0,0,0
니  제  르,여,0,0,0,0,2,3,0,0,2,0,0,0,0,0,0,0,0
남수단공화국,남,0,0,1,3,7,2,9,7,3,4,3,4,3,1,1,0,0
남수단공화국,여,0,0,0,0,3,2,1,1,0,0,0,1,0,0,0,0,0
코  모  로,남,1,1,0,0,0,5,7,4,6,2,2,5,1,0,0,0,0
코  모  로,여,1,0,0,2,2,6,8,0,2,0,0,0,0,0,0,0,0
레  소  토,남,0,0,1,1,3,4,3,5,4,3,1,2,2,0,0,0,0
레  소  토,여,0,0,0,3,1,5,5,2,4,4,1,1,0,0,0,0,0
적 도 기 니,남,0,0,0,1,1,6,8,7,6,4,3,3,2,0,0,0,0
적 도 기 니,여,0,0,0,0,0,6,4,1,1,0,0,0,0,0,0,0,0
소 말 리 아,남,0,0,0,0,2,11,4,1,1,1,0,0,1,0,0,0,0
소 말 리 아,여,0,0,0,0,5,5,9,2,2,0,1,0,0,0,0,0,0
모 리 타 니,남,0,0,0,0,2,4,6,5,3,4,14,1,1,0,0,0,0
모 리 타 니,여,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0
차      드,남,0,0,0,0,2,4,4,6,7,5,4,7,0,0,0,0,0
차      드,여,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
카보베르데,남,0,0,2,0,1,4,1,5,2,2,3,2,0,0,0,0,0
카보베르데,여,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0
중앙 아프리카 공화국,남,0,0,0,0,3,5,1,3,5,4,3,0,3,0,0,0,0
중앙 아프리카 공화국,여,1,2,1,2,2,0,0,2,0,0,0,0,0,0,0,0,0
기니비사우,남,0,0,0,0,2,4,7,6,2,0,2,3,3,0,0,0,0
기니비사우,여,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
지  부  티,남,0,0,0,1,0,3,1,2,2,0,4,5,2,0,0,0,0
지  부  티,여,0,0,0,1,1,4,1,0,1,1,2,0,0,0,0,0,0
에리트레아,남,0,0,0,0,2,2,6,1,0,1,1,0,3,1,0,0,0
에리트레아,여,0,0,0,1,3,3,2,0,0,0,0,1,0,0,0,0,0
상투메 프린시페,남,0,0,0,0,0,0,1,0,2,2,1,0,2,0,0,0,0
상투메 프린시페,여,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
국 제 연 합,남,0,0,0,0,0,7,73,85,144,134,213,148,70,4,1,0,1
국 제 연 합,여,0,0,0,0,3,14,45,55,105,139,67,58,29,1,1,0,0
미등록국가,남,0,1,2,3,17,77,34,39,55,35,42,42,33,2,1,0,0
미등록국가,여,0,0,1,6,14,10,20,14,12,12,12,12,13,6,1,0,1
무  국  적,남,2,0,2,1,3,7,12,10,10,10,3,5,7,3,0,1,4
무  국  적,여,5,0,4,2,5,8,7,5,2,6,2,4,3,3,4,2,3
미      상,남,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
미      상,여,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
