국  적,성별,0세~4세,5세~9세,10세~14세,15세~19세,20세~24세,25세~29세,30세~34세,35세~39세,40세~44세,45세~49세,50세~54세,55세~59세,60세~64세,65세~69세,70세~74세,75세~79세,80세이상
엘살바도르,여,0,0,0,16,46,82,30,27,15,15,15,12,6,7,2,0,0
파  나  마,남,4,3,3,25,59,95,69,46,47,23,29,37,15,17,9,1,1
파  나  마,여,2,3,3,20,88,91,47,33,13,26,31,30,9,5,7,0,0
볼 리 비 아,남,4,5,9,8,18,38,39,41,37,22,22,19,11,3,3,0,0
볼 리 비 아,여,2,3,3,13,27,35,31,31,16,16,14,15,4,10,1,0,0
파 라 과 이,남,5,1,2,5,10,39,35,46,16,26,24,39,11,6,8,1,1
파 라 과 이,여,2,1,4,22,50,51,47,27,18,12,15,21,18,7,7,3,1
우 루 과 이,남,0,0,0,2,25,31,34,27,25,19,18,26,15,9,6,3,2
우 루 과 이,여,2,0,1,4,15,30,29,13,5,5,11,9,5,4,2,1,2
니 카 라 과,남,1,0,0,2,14,24,34,24,10,16,9,9,4,6,8,0,0
니 카 라 과,여,0,1,0,4,13,45,26,13,5,4,7,4,3,1,0,0,0
트리니다드토바고,남,2,0,1,4,2,8,39,17,10,14,6,8,6,4,1,0,0
트리니다드토바고,여,1,5,2,3,13,40,19,14,18,6,8,8,4,1,2,0,0
세인트크리스토퍼 네비스,남,0,1,1,6,7,6,22,50,26,28,23,17,13,1,9,0,0
세인트크리스토퍼 네비스,여,1,2,1,3,4,3,12,13,8,4,2,1,4,0,2,0,0
쿠      바,남,0,0,1,3,7,12,16,9,6,8,21,10,6,5,1,0,0
쿠      바,여,2,0,0,6,14,14,6,1,10,8,6,1,1,1,0,3,0
도미니카연방,남,2,0,0,1,3,11,11,24,33,31,18,2,3,0,0,1,0
도미니카연방,여,2,0,0,1,5,1,2,4,4,5,0,2,1,0,0,0,0
아  이  티,남,2,3,0,0,8,7,17,13,9,8,4,3,0,2,1,1,0
아  이  티,여,1,1,2,4,6,12,4,5,1,3,3,3,2,0,0,0,0
바베이도스,남,1,0,0,1,4,8,4,8,4,2,7,16,6,6,6,1,0
바베이도스,여,0,0,1,0,6,3,8,6,4,3,5,8,14,18,3,0,0
바  하  마,남,1,0,0,2,12,20,10,7,4,1,5,4,5,1,2,0,0
바  하  마,여,0,0,0,0,10,6,6,8,4,4,2,4,5,0,2,0,0
그 레 나 다,남,0,1,0,0,1,4,7,7,13,15,11,5,2,1,0,0,0
그 레 나 다,여,1,0,0,0,4,3,7,1,1,6,4,1,1,0,0,0,0
가 이 아 나,남,0,0,0,0,6,7,2,9,3,2,4,1,3,3,2,0,1
가 이 아 나,여,0,1,0,0,7,4,8,0,3,1,2,3,0,0,0,0,0
앤티카 바부다,남,2,1,0,1,6,2,9,10,8,15,6,1,3,0,1,0,0
